1,Photo with Lisa Su - AMD's CEO
2,
3,Skylines from a park I went to
4,
5,UT Austin on a very cold summer day
6,"Capitol of Roswell, New Mexico"
7,My favorite late night coffee/bar place called Radio
8,We've come a long way haven't we?
9,Coffee place I go to on the weekends to grind
10,Drove like 40 minutes to get here lol
11,My cube
12,Michelin recommended taco place
