1,Tokyo Tower at night
2,
3,
4,Shot from Tokyo Skytree
5,
6,Hakone 箱根町
7,Got lost on the way to Hakone
8,Akihabara 秋葉原
9,Tokyo Imperial Palace
10,Tokyo University 東京大学、東大と言われている。
11,Tokyo Jump Station Gundam statue 
12,Bridge near the building with the golden poop on it
13,"New York, Tokyo"
14,
15,Dinner with this guy I ran into randomly who turned out to be a great tour guide
16,Fanciest hotel I've been to that has its own temple
